date,week_id
2023-10-09,2023_S41
2023-10-10,2023_S41
2023-10-11,2023_S41
2023-10-13,2023_S41
2023-11-06,2023_S45
2023-11-07,2023_S45
2023-11-08,2023_S45
2023-11-09,2023_S45
2023-11-10,2023_S45
2023-11-13,2023_S46
2023-11-16,2023_S46
2023-11-17,2023_S46
2024-01-02,2024_S1
2024-01-03,2024_S1
2024-01-04,2024_S1
2024-01-05,2024_S1
2024-03-25,2024_S13
2024-03-26,2024_S13
2024-03-27,2024_S13
2024-03-28,2024_S13
2024-05-06,2024_S19
2024-05-07,2024_S19
2024-05-08,2024_S19
2024-05-09,2024_S19
2024-05-10,2024_S19
2024-05-20,2024_S21
2024-05-21,2024_S21
2024-05-22,2024_S21
2024-05-23,2024_S21
2024-05-24,2024_S21
2024-06-24,2024_S26
2024-06-25,2024_S26
2024-06-26,2024_S26
2024-06-27,2024_S26
2024-06-28,2024_S26
2024-08-19,2024_S34
2024-08-20,2024_S34
2024-08-21,2024_S34
2024-08-22,2024_S34
2024-08-23,2024_S34
2024-09-16,2024_S39
2024-09-17,2024_S39
2024-09-18,2024_S39
2024-09-19,2024_S39
2024-09-20,2024_S39
